galaxy_id,gama_name,n_spec,n_gama_spec,specid,survey,ra,dec,z,nq,prob,fluxscale,logmstar,logmstar_corr,dellogmstar,logmoverl_i,dellogmoverl_i,absmag_r,delabsmag_r,absmag_r_stars,survey_class,galmag_z,galre_z,galindex_z,galellip_z,galpa_z,galmagerr_z,galreerr_z,galindexerr_z,galelliperr_z,galpaerr_z,galra_z,galdec_z,galmu0_z,galmue_z,galmueavg_z,galr90_z,galchi2full_z,galndof_z,galchi2_z,cataid_2a,galmag_r,galre_r,galindex_r,galellip_r,galpa_r,galmagerr_r,galreerr_r,galindexerr_r,galelliperr_r,galpaerr_r,galra_r,galdec_r,galmu0_r,galmue_r,galmueavg_r,galr90_r,galchi2full_r,galndof_r,galchi2_r,mass_stellar_best_fit,mass_stellar_percentile16,mass_stellar_percentile50,mass_stellar_percentile84,sfr_0_1gyr_best_fit,sfr_0_1gyr_percentile16,sfr_0_1gyr_percentile50,sfr_0_1gyr_percentile84,metalicity_z_zo_percentile2_5,metalicity_z_zo_percentile16,metalicity_z_zo_percentile50,metalicity_z_zo_percentile84,agem_percentile16,agem_percentile50,agem_percentile84,sfr19_percentile16,sfr19_percentile50,sfr19_percentile84
7687,GAMAJ115555.30+004454.0,4,0,319923831420512256,SDSS,178.98045,0.74834,0.2082500010728836,5,0.0,1.0559735298156738,11.542818069458008,11.566471101293045,0.10063514858484268,2.134507417678833,0.10260489583015442,-22.993383407592773,0.025224346667528152,-24.3414249420166,6,16.530500411987305,1.8804329633712769,2.5992000102996826,0.47600001096725464,4.033599853515625,0.003700000001117587,0.01345830038189888,0.03350000083446503,0.003599999938160181,0.3449000120162964,178.9805,0.7483500242233276,15.078164100646973,20.364761352539062,19.195568084716797,7.404151916503906,11299.5888671875,9998,1.1301850080490112,7687,17.452199935913086,2.0089478492736816,2.1491000652313232,0.45750001072883606,9.589799880981445,0.008899999782443047,0.030747300013899803,0.04659999907016754,0.006200000178068876,0.6001999974250793,178.98047,0.7483199834823608,17.06039810180664,21.370615005493164,20.298492431640625,6.957491874694824,11109.759765625,10117,1.0981279611587524,307200000000.0,11.420000076293945,11.510000228881836,11.600000381469727,1.0880000591278076,-0.20800000429153442,-0.0430000014603138,0.1120000034570694,0.7649999856948853,0.9850000143051147,1.215000033378601,1.3650000095367432,9.621999740600586,9.737000465393066,9.876999855041504,-11.630000114440918,-11.180000305175781,-10.949999809265137
8050,GAMAJ120140.16+004205.0,1,1,G12_Y1_EN1_347,GAMA,180.41737,0.70139,0.24547000229358673,4,1.0,1.0788354873657227,11.352107048034668,11.385062271794041,0.09349717944860458,2.0202441215515137,0.09755850583314896,-22.90141487121582,0.014110923744738102,-23.421648025512695,6,17.01219940185547,1.7607998847961426,2.0048999786376953,0.44510000944137573,-30.819599151611328,0.004600000102072954,0.015051599591970444,0.027699999511241913,0.004399999976158142,0.43630000948905945,180.41741,0.7014200091362,16.636201858520508,20.63371467590332,19.596736907958984,5.837157249450684,12387.13671875,10126,1.2232999801635742,8050,17.90250015258789,1.9062309265136719,2.193700075149536,0.42399999499320984,-31.705400466918945,0.012900000438094139,0.042273301631212234,0.06719999760389328,0.00930000003427267,0.9241999983787537,180.41737,0.7013800144195557,17.375486373901367,21.782434463500977,20.69988250732422,6.68979024887085,10735.4365234375,10136,1.0591390132904053,179500007424.0,11.220000267028809,11.3100004196167,11.40999984741211,0.23929999768733978,-0.8330000042915344,-0.453000009059906,-0.21299999952316284,0.675000011920929,0.8349999785423279,1.0850000381469727,1.3550000190734863,9.612000465393066,9.751999855041504,9.862000465393066,-11.850000381469727,-11.460000038146973,-11.069999694824219
14488,GAMAJ140720.39+004927.8,2,1,4542038648417681408,SDSS,211.83498,0.8244,0.23964999616146088,5,0.0,0.2777020037174225,11.331930160522461,10.775509173871136,0.1083197295665741,1.7231935262680054,0.10964402556419373,-23.694324493408203,0.01902017556130886,-24.383155822753906,6,17.079700469970703,2.21889066696167,2.06030011177063,0.059700001031160355,-18.97100067138672,0.0737999975681305,0.17800889909267426,0.17870000004768372,0.03359999880194664,23.538000106811523,211.83506,0.8243499994277954,17.672101974487305,21.789745330810547,20.738994598388672,7.481644153594971,14160.046875,922,15.357970237731934,14488,18.361900329589844,1.8969084024429321,1.8460999727249146,0.19130000472068787,-20.54520034790039,0.11890000104904175,0.2465886026620865,0.26510000228881836,0.041200000792741776,10.839799880981445,211.83508,0.8243200182914734,18.859283447265625,22.512516021728516,21.51704978942871,5.982344627380371,5753.095703125,908,6.3360090255737305,205199998976.0,11.210000038146973,11.329999923706055,11.420000076293945,10.15999984741211,0.8270000219345093,0.9520000219345093,1.0470000505447388,0.42500001192092896,0.6650000214576721,1.0750000476837158,1.524999976158142,9.437000274658203,9.597000122070312,9.72700023651123,-10.5600004196167,-10.289999961853027,-9.89799976348877
22992,GAMAJ115949.74+010445.9,3,0,321025266975533056,SDSS,179.95726,1.07946,0.20042000710964203,5,0.0,1.1861298084259033,11.598128318786621,11.672260539010612,0.09043725579977036,2.0079171657562256,0.09469091892242432,-23.565004348754883,0.01177431084215641,-23.910381317138672,6,15.713899612426758,3.268061637878418,3.961699962615967,0.13680000603199005,82.57080078125,0.004399999976158142,0.029493000358343124,0.03150000050663948,0.004000000189989805,1.0269999504089355,179.95733,1.079450011253357,13.265348434448242,21.508991241455078,20.12108039855957,17.981077194213867,16718.5,13551,1.2337470054626465,22992,16.480600357055664,3.6761837005615234,5.019400119781494,0.12600000202655792,-85.20259857177734,0.016499999910593033,0.12244679778814316,0.11249999701976776,0.008299999870359898,2.165600061416626,179.95727,1.0794199705123901,12.129354476928711,22.669145584106445,21.156814575195312,25.269105911254883,12699.8076171875,11104,1.1437150239944458,300899991552.0,11.430000305175781,11.550000190734863,11.630000114440918,0.26649999618530273,-0.9129999876022339,-0.7379999756813049,-0.4480000138282776,0.6850000023841858,0.8650000095367432,1.1649999618530273,1.465000033378601,9.612000465393066,9.791999816894531,9.871999740600586,-12.180000305175781,-11.729999542236328,-11.380000114440918
23943,GAMAJ121425.08+011018.2,1,0,323288613221591040,SDSS,183.60452,1.17173,0.24523000419139862,5,0.0,1.6116653680801392,11.423490524291992,11.630765398062174,0.10377749055624008,1.9260362386703491,0.10890889912843704,-23.356687545776367,0.014061009511351585,-23.687557220458984,6,16.344900131225586,6.743557453155518,3.557499885559082,0.5217999815940857,48.45669937133789,0.013199999928474426,0.16024529933929443,0.061500001698732376,0.0038999998942017555,0.3418999910354614,183.6046,1.1717699766159058,15.649221420288086,23.015493392944336,21.683818817138672,33.82377243041992,22373.828125,22798,0.9813944101333618,23943,16.917800903320312,10.403130531311035,4.470200061798096,0.513700008392334,47.88199996948242,0.0044999998062849045,0.05966399982571602,0.010999999940395355,0.004600000102072954,0.019899999722838402,183.60454,1.171720027923584,15.320114135742188,24.66761589050293,23.216331481933594,63.906307220458984,20287.33984375,19680,1.0308610200881958,248000004096.0,11.239999771118164,11.390000343322754,11.420000076293945,0.15150000154972076,-1.2130000591278076,-0.8180000185966492,-0.382999986410141,0.574999988079071,0.7450000047683716,0.875,1.465000033378601,9.612000465393066,9.692000389099121,9.767000198364258,-12.050000190734863,-11.609999656677246,-11.069999694824219
28653,GAMAJ140703.51+010320.8,2,0,340146869634099200,SDSS,211.76466,1.05577,0.23341000080108643,5,0.0,1.1437684297561646,11.27985954284668,11.33819764784636,0.09778932482004166,1.959671974182129,0.10428692400455475,-22.900184631347656,0.014427084475755692,-23.233747482299805,6,16.82159996032715,2.380390167236328,5.45550012588501,0.271699994802475,-46.005001068115234,0.017000000923871994,0.08752980083227158,0.15889999270439148,0.009600000455975533,1.2742999792099,211.76466,1.0558199882507324,10.42582893371582,21.912416458129883,20.35606575012207,17.81480598449707,10599.3193359375,10146,1.0446799993515015,28653,17.630199432373047,2.6827104091644287,4.809599876403809,0.26649999618530273,-46.112998962402344,0.01769999973475933,0.09831000119447708,0.15029999613761902,0.011800000444054604,1.62909996509552,211.76466,1.0557600259780884,12.837514877319336,22.921831130981445,21.432018280029297,17.678298950195312,8458.3720703125,10115,0.8362206220626831,202400006144.0,11.199999809265137,11.300000190734863,11.359999656677246,1.465999960899353,-0.21799999475479126,-0.06800000369548798,0.11699999868869781,0.8349999785423279,1.0449999570846558,1.215000033378601,1.4850000143051147,9.647000312805176,9.79699993133545,9.85200023651123,-11.59000015258789,-11.140000343322754,-10.859999656677246
30502,GAMAJ114242.41-011055.6,4,0,318696501834442752,SDSS,175.67676,-1.18214,0.22415000200271606,5,0.0,1.0013598203659058,11.337631225585938,11.33822138690142,0.09141034632921219,2.022528886795044,0.0955241397023201,-22.857940673828125,0.019398491829633713,-23.43722152709961,6,17.053699493408203,1.986167073249817,5.225399971008301,0.11800000071525574,63.114898681640625,0.00019999999494757503,0.00037289998726919293,0.0003000000142492354,9.999999747378752e-05,0.013299999758601189,175.67675,-1.1821999549865723,10.949444770812988,21.93647003173828,20.40290069580078,14.21819019317627,11713.59765625,10114,1.1581569910049438,30502,17.74920082092285,2.6654891967773438,1.1871999502182007,0.4381999969482422,11.282999992370605,0.009399999864399433,0.04183259978890419,0.040699999779462814,0.00839999970048666,0.8945000171661377,175.67692,-1.1821500062942505,19.799869537353516,22.02635955810547,21.247488021850586,6.665175914764404,13988.076171875,10598,1.3198790550231934,214800007168.0,11.220000267028809,11.329999923706055,11.40999984741211,1.5210000276565552,-0.0729999989271164,0.12700000405311584,0.2919999957084656,0.6349999904632568,0.8050000071525574,1.0049999952316284,1.274999976158142,9.597000122070312,9.732000350952148,9.866999626159668,-11.359999656677246,-10.920000076293945,-10.630000114440918
31644,GAMAJ120239.98-011131.7,1,0,322084647586523136,SDSS,180.6666,-1.19221,0.2497600018978119,5,0.0,1.2228107452392578,11.501799583435059,11.589158829793995,0.07648742944002151,2.0577404499053955,0.08083605766296387,-23.18638038635254,0.009104765951633453,-23.583803176879883,6,16.608299255371094,2.8038690090179443,4.207699775695801,0.3361999988555908,30.2007999420166,0.010599999688565731,0.05990130081772804,0.08630000054836273,0.006300000008195639,0.6901000142097473,180.66665,-1.1921700239181519,13.039472579956055,21.81712532043457,20.39763069152832,16.284791946411133,9775.5322265625,10108,0.9671084880828857,31644,17.518800735473633,2.831836462020874,3.05430006980896,0.30959999561309814,28.6471004486084,0.02590000070631504,0.1033610999584198,0.14149999618530273,0.014999999664723873,1.8047000169754028,180.6666,-1.1921700239181519,16.350614547729492,22.624753952026367,21.372343063354492,12.565079689025879,12444.0302734375,10988,1.132511019706726,211399999488.0,11.319999694824219,11.399999618530273,11.510000228881836,0.12210000306367874,-0.9179999828338623,-0.6830000281333923,-0.3630000054836273,0.8149999976158142,1.0549999475479126,1.3049999475479126,1.524999976158142,9.612000465393066,9.717000007629395,9.857000350952148,-12.039999961853027,-11.710000038146973,-11.25
32021,GAMAJ121153.97-011035.5,2,0,323191031564625920,SDSS,182.97487,-1.17654,0.2037699967622757,5,0.0,0.8358184099197388,11.33720874786377,11.259320680642304,0.09187932312488556,1.989289402961731,0.09658787399530411,-22.966384887695312,0.013541612774133682,-23.30008888244629,6,16.527000427246094,2.324489116668701,3.982300043106079,0.06719999760389328,9.955100059509277,0.00800000037997961,0.03403560072183609,0.0568000003695488,0.006000000052154064,3.302500009536743,182.97494,-1.1765999794006348,13.380826950073242,21.669185638427734,20.2785587310791,12.848347663879395,11274.1005859375,9868,1.1424909830093384,32021,17.514799118041992,2.2831649780273438,3.660399913787842,0.17030000686645508,25.05500030517578,0.0215000007301569,0.0838008001446724,0.12849999964237213,0.01269999984651804,3.304500102996826,182.9749,-1.1765700578689575,14.857168197631836,22.44679069519043,21.100238800048828,11.730108261108398,11480.322265625,11424,1.004930019378662,220199993344.0,11.229999542236328,11.319999694824219,11.399999618530273,0.43970000743865967,-0.8330000042915344,-0.3930000066757202,-0.2529999911785126,0.4650000035762787,0.6050000190734863,0.7850000262260437,1.0950000286102295,9.692000389099121,9.812000274658203,9.906999588012695,-11.989999771118164,-11.510000228881836,-11.079999923706055
32739,GAMAJ122344.90-011412.6,2,0,325465095935125504,SDSS,185.93707,-1.2368,0.2097100019454956,5,0.0,1.0834604501724243,11.318527221679688,11.353340284464858,0.08940736949443817,1.9996492862701416,0.09322881698608398,-22.892417907714844,0.011543667875230312,-23.236852645874023,6,16.317800521850586,3.845921039581299,6.078199863433838,0.18449999392032623,-7.029099941253662,0.021900000050663948,0.18407699465751648,0.18289999663829803,0.00989999994635582,1.809399962425232,185.93715,-1.2368199825286865,9.791863441467285,22.63041114807129,21.01681137084961,32.3201789855957,14032.6259765625,10302,1.3621259927749634,32739,17.373300552368164,2.7335264682769775,5.07289981842041,0.24469999969005585,-1.5403000116348267,0.0284000001847744,0.16139790415763855,0.2596000134944916,0.015200000256299973,2.184000015258789,185.93712,-1.2368700504302979,12.109651565551758,22.765592575073242,21.247665405273438,18.99019432067871,11049.77734375,10154,1.0882190465927124,204099993600.0,11.180000305175781,11.3100004196167,11.359999656677246,0.3695000112056732,-0.8330000042915344,-0.43299999833106995,-0.2630000114440918,0.6349999904632568,0.824999988079071,0.9350000023841858,1.1549999713897705,9.661999702453613,9.812000274658203,9.892000198364258,-11.819999694824219,-11.369999885559082,-11.140000343322754
